ID,Country,Population,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7
0,South Korea,51225308,27,,,,,,,,,,,,,,,,,,,,,,,,,,7041
1,Italy,60550075,3,,,,,,,,,,,,,,,,,,,,,,,,,,5883
2,Iran,82913906,0,,,,,,,,,,,,,,,,,,,,,,,,,,5823
3,France,65129728,11,,,,,,,,,,,,,,,,,,,,,,,,,,949
4,Germany,83517045,14,,,,,,,,,,,,,,,,,,,,,,,,,,799
5,Spain,46736776,2,,,,,,,,,,,,,,,,,,,,,,,,,,500
6,Japan,126860301,26,,,,,,,,,,,,,,,,,,,,,,,,,,461
7,United States,329064917,12,,,,,,,,,,,,,,,,,,,,,,,,,,417
8,Switzerland,8591365,0,,,,,,,,,,,,,,,,,,,,,,,,,,268
9,United Kingdom,67530172,8,,,,,,,,,,,,,,,,,,,,,,,,,,206
10,Netherlands,17097130,0,,,,,,,,,,,,,,,,,,,,,,,,,,188
11,Belgium,11539328,1,,,,,,,,,,,,,,,,,,,,,,,,,,169
12,Sweden,10036379,1,,,,,,,,,,,,,,,,,,,,,,,,,,161
13,Norway,5378857,0,,,,,,,,,,,,,,,,,,,,,,,,,,147
14,Singapore,5804337,45,,,,,,,,,,,,,,,,,,,,,,,,,,138
15,Malaysia,31949777,18,,,,,,,,,,,,,,,,,,,,,,,,,,93
16,Bahrain,1641172,0,,,,,,,,,,,,,,,,,,,,,,,,,,85
17,Austria,8955102,0,,,,,,,,,,,,,,,,,,,,,,,,,,79
18,Australia,25203198,15,,,,,,,,,,,,,,,,,,,,,,,,,,63
19,Kuwait,4207083,0,,,,,,,,,,,,,,,,,,,,,,,,,,61
20,Canada,37411047,7,,,,,,,,,,,,,,,,,,,,,,,,,,54
21,Iraq,39309783,0,,,,,,,,,,,,,,,,,,,,,,,,,,54
22,Thailand,69037513,32,,,,,,,,,,,,,,,,,,,,,,,,,,50
23,Iceland,339031,0,,,,,,,,,,,,,,,,,,,,,,,,,,50
24,Greece,10473455,0,,,,,,,,,,,,,,,,,,,,,,,,,,46
25,United Arab Emirates,9770529,8,,,,,,,,,,,,,,,,,,,,,,,,,,45
26,India,1366417754,3,,,,,,,,,,,,,,,,,,,,,,,,,,34
27,Denmark,5771876,0,,,,,,,,,,,,,,,,,,,,,,,,,,23
28,Lebanon,6855713,0,,,,,,,,,,,,,,,,,,,,,,,,,,22
29,Israel,8519377,0,,,,,,,,,,,,,,,,,,,,,,,,,,21
30,Portugal,10226187,0,,,,,,,,,,,,,,,,,,,,,,,,,,20
31,Czech Republic,10689209,0,,,,,,,,,,,,,,,,,,,,,,,,,,19
32,Ireland,4882495,0,,,,,,,,,,,,,,,,,,,,,,,,,,18
33,Vietnam,96462106,14,,,,,,,,,,,,,,,,,,,,,,,,,,18
34,Algeria,43053054,0,,,,,,,,,,,,,,,,,,,,,,,,,,17
35,Oman,4974986,0,,,,,,,,,,,,,,,,,,,,,,,,,,16
36,Egypt,100388073,0,,,,,,,,,,,,,,,,,,,,,,,,,,15
37,Finland,5532156,1,,,,,,,,,,,,,,,,,,,,,,,,,,15
38,Russia,145872256,2,,,,,,,,,,,,,,,,,,,,,,,,,,13
39,Brazil,211049527,0,,,,,,,,,,,,,,,,,,,,,,,,,,13
40,Ecuador,17373662,0,,,,,,,,,,,,,,,,,,,,,,,,,,13
41,Croatia,4130304,0,,,,,,,,,,,,,,,,,,,,,,,,,,12
42,Estonia,1325648,0,,,,,,,,,,,,,,,,,,,,,,,,,,10
43,Azerbaijan,10047718,0,,,,,,,,,,,,,,,,,,,,,,,,,,9
44,Romania,19364557,0,,,,,,,,,,,,,,,,,,,,,,,,,,9
45,Argentina,44780677,0,,,,,,,,,,,,,,,,,,,,,,,,,,8
46,Qatar,2832067,0,,,,,,,,,,,,,,,,,,,,,,,,,,8
47,Slovenia,2078654,0,,,,,,,,,,,,,,,,,,,,,,,,,,7
48,Pakistan,216565318,0,,,,,,,,,,,,,,,,,,,,,,,,,,6
49,Philippines,108116615,3,,,,,,,,,,,,,,,,,,,,,,,,,,6
50,Belarus,9452411,0,,,,,,,,,,,,,,,,,,,,,,,,,,6
51,Mexico,127575529,0,,,,,,,,,,,,,,,,,,,,,,,,,,6
52,New Zealand,4783063,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
53,Poland,37887768,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
54,Saudi Arabia,34268528,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
55,French Guiana,282731,0,,,,,,,,,,,,,,,,,,,,,,,,,,5
56,Georgia,3996765,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
57,Indonesia,270625568,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
58,Senegal,16296364,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
59,Chile,18952038,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
60,Hungary,9684679,0,,,,,,,,,,,,,,,,,,,,,,,,,,4
61,Malta,440372,0,,,,,,,,,,,,,,,,,,,,,,,,,,3
62,Luxembourg,615729,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
63,Martinique,375554,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
64,Morocco,36471769,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
65,Dominican Republic,10738958,0,,,,,,,,,,,,,,,,,,,,,,,,,,2
66,Lithuania,2759627,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,Ukraine,43993638,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
68,Nigeria,200963599,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,Nepal,28608710,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,South Africa,58558270,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,Jordan,10101694,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,Tunisia,11694719,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,Togo,8082366,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,Sri Lanka,21323733,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,Slovakia,5457013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,Latvia,1906743,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,Cambodia,16486542,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,Peru,32510453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,Gibraltar,33701,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,Costa Rica,5047561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,Bhutan,763092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,Armenia,2957731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
83,Cameroon,25876380,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,Colombia,50339443,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,Afghanistan,38041754,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,Faroe Islands,48678,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,Serbia,8772235,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,Brunei,433285,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,Seychelles,97739,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,Bermuda,62506,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
91,Sierra Leone,7813215,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,Bulgaria,7000119,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,Solomon Islands,669823,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,Bolivia,11513100,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
95,Burundi,10864245,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
96,Botswana,2303697,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,Samoa,197097,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,Bosnia And Herzegovina,100000,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,Somalia,15442905,0,,,,,,,,,,,,,,,,,,,,,,,,,,0